CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
61196,"Le Gué-de-la-Chaîne",54,21,4,5,21,8,3,40,16,3,3,17,7,1,12,5,0,2,3,1,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,88,8,44,7,22,5,7,30,8,0,7,8,5,7,14,0,0,0,14,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,2,0,22,66,7,0,51,21,3,5,20,8,2
61197,Guêprei,20,12,0,1,5,0,2,18,12,0,1,4,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,1,0,2,1,2,0,20,12,0,1,5,0,2
61198,Guerquesalles,26,15,0,0,9,2,2,21,12,0,0,7,1,2,3,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,34,3,0,0,31,21,0,3,3,0,0,0,0,0,10,0,0,0,10,0,0,21,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,1,0,10,24,0,0,26,15,0,0,9,2,2
61199,Habloville,34,20,0,2,11,2,1,31,19,0,2,10,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,3,3,2,11,6,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,1,0,5,6,2,0,33,19,0,2,11,2,1
61200,Haleine,16,5,2,2,5,1,2,9,4,0,1,4,0,0,3,1,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,312,1,280,11,1,1,19,4,1,0,0,1,1,2,28,0,0,11,0,0,17,0,0,0,0,0,0,0,61,0,61,0,0,0,0,219,0,219,0,0,0,0,6,10,1,0,31,281,2,0,15,5,1,2,5,1,2
61201,"La Haute-Chapelle",77,35,2,3,31,17,6,60,32,1,2,21,9,4,15,3,1,1,9,7,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,3,1,28,23,13,27,5,3,1,16,11,2,23,0,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51,2,0,36,14,2,0,68,35,2,2,26,12,3
61202,Hauterive,29,12,1,4,9,3,3,19,10,1,1,6,2,1,9,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,91,3,0,70,10,4,8,26,3,0,5,10,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,10,19,2,0,81,10,8,0,25,10,1,3,9,3,2
61203,Héloup,61,21,1,6,24,3,9,46,19,1,3,17,3,6,13,1,0,3,7,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,12,0,12,15,0,16,35,2,0,12,15,0,6,20,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,2,0,33,22,15,0,58,20,1,6,23,3,8
61204,L'Hermitière,21,9,0,4,7,1,1,15,7,0,3,5,1,0,6,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,1,2,0,2,9,4,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,1,0,3,6,2,0,21,9,0,4,7,1,1
61205,Heugon,41,18,2,5,11,0,5,34,15,2,5,9,0,3,6,3,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,13,0,3,10,6,0,0,1,0,3,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,2,0,4,18,3,0,39,17,2,5,10,0,5
